STIS Model Line Spread Function vs Aperture at 320 nm
Rel_pixel      52x0.1    52x0.2    52x0.5    52x2.0
  2.985        0.0000    0.0004    0.0289    0.0267
  3.058        0.0000    0.0002    0.0278    0.0257
  3.130        0.0000    0.0001    0.0268    0.0247
  3.203        0.0000    0.0001    0.0257    0.0237
  3.276        0.0000    0.0001    0.0246    0.0227
  3.349        0.0000    0.0000    0.0236    0.0218
  3.422        0.0000    0.0000    0.0226    0.0209
  3.494        0.0000    0.0000    0.0216    0.0200
  3.567        0.0000    0.0000    0.0207    0.0192
  3.640        0.0000    0.0000    0.0199    0.0184
  3.713        0.0000    0.0000    0.0192    0.0177
  3.786        0.0000    0.0000    0.0185    0.0171
  3.858        0.0000    0.0000    0.0179    0.0166
  3.931        0.0000    0.0000    0.0173    0.0160
  4.004        0.0000    0.0000    0.0168    0.0156
  4.077        0.0000    0.0000    0.0162    0.0151
  4.150        0.0000    0.0000    0.0157    0.0147
  4.222        0.0000    0.0000    0.0151    0.0143
  4.295        0.0000    0.0000    0.0145    0.0138
  4.368        0.0000    0.0000    0.0139    0.0134
  4.441        0.0000    0.0000    0.0132    0.0130
  4.514        0.0000    0.0000    0.0124    0.0125
  4.586        0.0000    0.0000    0.0115    0.0120
  4.659        0.0000    0.0000    0.0106    0.0116
  4.732        0.0000    0.0000    0.0096    0.0112
  4.805        0.0000    0.0000    0.0086    0.0108
  4.878        0.0000    0.0000    0.0076    0.0104
  4.950        0.0000    0.0000    0.0066    0.0101
  5.023        0.0000    0.0000    0.0057    0.0099
  5.096        0.0000    0.0000    0.0048    0.0097
  5.169        0.0000    0.0000    0.0039    0.0095
  5.242        0.0000    0.0000    0.0032    0.0094
  5.314        0.0000    0.0000    0.0025    0.0093
  5.387        0.0000    0.0000    0.0020    0.0093
  5.460        0.0000    0.0000    0.0015    0.0092
  5.533        0.0000    0.0000    0.0011    0.0092
  5.606        0.0000    0.0000    0.0008    0.0092
  5.678        0.0000    0.0000    0.0006    0.0092
  5.751        0.0000    0.0000    0.0004    0.0092
  5.824        0.0000    0.0000    0.0003    0.0092
  5.897        0.0000    0.0000    0.0002    0.0092
  5.970        0.0000    0.0000    0.0001    0.0092
  6.042        0.0000    0.0000    0.0001    0.0091
  6.115        0.0000    0.0000    0.0000    0.0091
  6.188        0.0000    0.0000    0.0000    0.0090
  6.261        0.0000    0.0000    0.0000    0.0090
  6.334        0.0000    0.0000    0.0000    0.0089
  6.406        0.0000    0.0000    0.0000    0.0089
  6.479        0.0000    0.0000    0.0000    0.0089
  6.552        0.0000    0.0000    0.0000    0.0088
  6.625        0.0000    0.0000    0.0000    0.0088
  6.698        0.0000    0.0000    0.0000    0.0087
  6.770        0.0000    0.0000    0.0000    0.0087
  6.843        0.0000    0.0000    0.0000    0.0087
  6.916        0.0000    0.0000    0.0000    0.0086
  6.989        0.0000    0.0000    0.0000    0.0086
  7.062        0.0000    0.0000    0.0000    0.0085
  7.134        0.0000    0.0000    0.0000    0.0084
  7.207        0.0000    0.0000    0.0000    0.0083
  7.280        0.0000    0.0000    0.0000    0.0082
  7.353        0.0000    0.0000    0.0000    0.0080
  7.426        0.0000    0.0000    0.0000    0.0079
  7.498        0.0000    0.0000    0.0000    0.0077
  7.571        0.0000    0.0000    0.0000    0.0075
  7.644        0.0000    0.0000    0.0000    0.0073
  7.717        0.0000    0.0000    0.0000    0.0071
  7.790        0.0000    0.0000    0.0000    0.0069
  7.862        0.0000    0.0000    0.0000    0.0067
  7.935        0.0000    0.0000    0.0000    0.0064
  8.008        0.0000    0.0000    0.0000    0.0062
  8.081        0.0000    0.0000    0.0000    0.0059
  8.154        0.0000    0.0000    0.0000    0.0057
  8.226        0.0000    0.0000    0.0000    0.0055
  8.299        0.0000    0.0000    0.0000    0.0053
  8.372        0.0000    0.0000    0.0000    0.0051
  8.445        0.0000    0.0000    0.0000    0.0049
  8.518        0.0000    0.0000    0.0000    0.0047
  8.590        0.0000    0.0000    0.0000    0.0046
  8.663        0.0000    0.0000    0.0000    0.0045
  8.736        0.0000    0.0000    0.0000    0.0044
  8.809        0.0000    0.0000    0.0000    0.0043
  8.882        0.0000    0.0000    0.0000    0.0042
  8.954        0.0000    0.0000    0.0000    0.0041
  9.027        0.0000    0.0000    0.0000    0.0041
  9.100        0.0000    0.0000    0.0000    0.0040
  9.173        0.0000    0.0000    0.0000    0.0040
  9.246        0.0000    0.0000    0.0000    0.0040
  9.318        0.0000    0.0000    0.0000    0.0039
  9.391        0.0000    0.0000    0.0000    0.0039
  9.464        0.0000    0.0000    0.0000    0.0038
  9.537        0.0000    0.0000    0.0000    0.0038
  9.610        0.0000    0.0000    0.0000    0.0038
  9.682        0.0000    0.0000    0.0000    0.0038
  9.755        0.0000    0.0000    0.0000    0.0037
  9.828        0.0000    0.0000    0.0000    0.0037
  9.901        0.0000    0.0000    0.0000    0.0037
  9.974        0.0000    0.0000    0.0000    0.0037
 10.046        0.0000    0.0000    0.0000    0.0037
 10.119        0.0000    0.0000    0.0000    0.0037
 10.192        0.0000    0.0000    0.0000    0.0037
 10.265        0.0000    0.0000    0.0000    0.0037
 10.338        0.0000    0.0000    0.0000    0.0037
 10.410        0.0000    0.0000    0.0000    0.0037
 10.483        0.0000    0.0000    0.0000    0.0036
 10.556        0.0000    0.0000    0.0000    0.0036
 10.629        0.0000    0.0000    0.0000    0.0036
 10.702        0.0000    0.0000    0.0000    0.0036
 10.774        0.0000    0.0000    0.0000    0.0035
 10.847        0.0000    0.0000    0.0000    0.0035
 10.920        0.0000    0.0000    0.0000    0.0034
 10.993        0.0000    0.0000    0.0000    0.0034
 11.066        0.0000    0.0000    0.0000    0.0033
 11.138        0.0000    0.0000    0.0000    0.0032
 11.211        0.0000    0.0000    0.0000    0.0032
 11.284        0.0000    0.0000    0.0000    0.0031
 11.357        0.0000    0.0000    0.0000    0.0031
 11.430        0.0000    0.0000    0.0000    0.0030
 11.502        0.0000    0.0000    0.0000    0.0030
 11.575        0.0000    0.0000    0.0000    0.0030
 11.648        0.0000    0.0000    0.0000    0.0029
 11.721        0.0000    0.0000    0.0000    0.0029
 11.794        0.0000    0.0000    0.0000    0.0029
 11.866        0.0000    0.0000    0.0000    0.0029
 11.939        0.0000    0.0000    0.0000    0.0028
 12.012        0.0000    0.0000    0.0000    0.0028
 12.085        0.0000    0.0000    0.0000    0.0028
 12.158        0.0000    0.0000    0.0000    0.0028
 12.230        0.0000    0.0000    0.0000    0.0027
 12.303        0.0000    0.0000    0.0000    0.0027
 12.376        0.0000    0.0000    0.0000    0.0027
 12.449        0.0000    0.0000    0.0000    0.0027
 12.522        0.0000    0.0000    0.0000    0.0026
 12.594        0.0000    0.0000    0.0000    0.0026
 12.667        0.0000    0.0000    0.0000    0.0026
 12.740        0.0000    0.0000    0.0000    0.0026
 12.813        0.0000    0.0000    0.0000    0.0026
 12.886        0.0000    0.0000    0.0000    0.0025
 12.958        0.0000    0.0000    0.0000    0.0025
